episode,rewards_total
1,17.4439972303
2,17.4526996777
3,17.4236382625
4,16.4794965682
5,22.4006014779
6,20.1011541434
7,20.7124293684
8,22.5646156706
9,21.1076363427
10,20.6529783284
11,20.7374372706
12,21.283608777
13,20.683881293
14,20.2139347977
15,19.9282157082
16,20.8407032162
17,19.866616099
18,20.849631242
19,20.4962828453
20,20.8722980145
21,20.9336729112
22,21.4139455293
23,21.3998910643
24,21.4315545512
25,21.3828547807
26,21.1516483227
27,21.2566054697
28,21.2156880663
29,21.4593088852
30,21.0021529714
31,20.520165776
32,20.2984393145
33,20.4795832772
34,20.5412344239
35,20.4043102129
36,20.3889259216
37,20.426362814
38,20.7538690627
39,21.4460042876
40,22.0790551651
41,21.6070330866
42,21.9967034796
43,21.7806837085
44,20.3900704207
45,24.0942183111
46,21.1946255158
47,23.8171871295
48,19.5249380566
49,20.3743895869
50,23.8372225391
51,18.5246532737
52,19.3896213924
53,16.7178446119
54,16.7977834549
55,17.6287356568
56,-1.94749924771
57,7.89829956544
58,-1.55230866571
59,-0.348716782971
60,-1.55215519409
61,7.5979040217
62,11.8365831733
63,10.4781607579
64,13.5224281973
65,14.2084856819
66,13.8429150926
67,24.141655172
68,22.05282257
69,21.4428508862
70,21.0351072167
71,20.2254060781
72,19.7329743273
73,19.8868832026
74,19.4915070313
75,17.8008541454
76,20.3876079954
77,17.4234127076
78,19.7894968345
79,17.0057791763
80,20.6641954154
81,24.6308879294
82,20.3057657051
83,15.139728405
84,19.7696267407
85,22.7252288435
86,20.2219345016
87,20.5844246218
88,15.3576932359
89,10.8269337275
90,5.88977153266
91,12.7600176019
92,11.8742521064
93,13.7331055989
94,4.52066024691
95,3.92772528624
96,3.53360440777
97,9.37665641355
98,10.9397675283
99,6.21302660381
100,15.0070960936
101,14.590658029
102,22.0597585155
103,22.0621095022
104,20.9649395726
105,20.9887788984
106,21.130867821
107,20.8271211789
108,20.7052528958
109,20.7681248578
110,20.5779823485
111,20.7403207712
112,20.4151050097
113,20.5271558398
114,20.7629423981
115,20.6935012172
116,20.7278340423
117,20.8702855299
118,20.7923224272
119,20.7134933491
120,21.0027490695
121,20.8431733853
122,20.5396448735
123,20.7114373383
124,20.5473179517
125,20.7471342062
126,20.729863626
127,20.6936249864
128,20.7821315131
129,20.5550630819
130,20.6228791839
131,20.6458074536
132,20.6855138257
133,20.8215143037
134,20.7371441183
135,20.6828859993
136,20.5045555596
137,20.6643062764
138,20.6454506829
139,20.6999311647
140,20.5474337293
141,20.6301396383
142,20.7130623178
143,20.7380921117
144,21.0055243776
145,20.9345680252
146,20.5324218321
147,20.8002518238
148,20.6129577566
149,20.7391256431
150,20.5081404287
151,21.0217128216
152,20.9618679786
153,21.0364508715
154,20.7399153612
155,20.5069953112
156,20.9816660635
157,22.7545610926
158,22.1991753836
159,21.0417322885
160,21.9234827191
161,18.3957736242
162,18.3220530254
163,19.348488927
164,16.9994458908
165,19.9597726214
166,26.5021932853
167,25.6163906013
168,21.0702637558
169,25.6283158325
170,24.1374964798
171,17.0200649615
172,19.0601455558
173,22.3552364861
174,21.9816336496
175,15.0849481274
176,14.0377658233
177,15.73287483
178,16.8752225495
179,20.6669123369
180,18.298411035
181,21.7621657908
182,21.6197483739
183,22.3465450107
184,22.9554513197
185,22.3100422757
186,17.0607878734
187,23.6663849318
188,7.42227646469
189,19.1189630913
190,22.1569593293
191,20.2862371453
192,21.4110459172
193,16.0574355699
194,14.9517856293
195,-47.4251621169
196,-153.9513445
197,-153.556077774
198,-152.46874517
199,-154.55928233
200,-153.414788954
201,-63.5626394106
202,12.4003740707
203,6.55999029733
204,0.657844488502
205,-161.114332317
206,-27.0252819732
207,-171.909924906
208,-171.302007051
209,-3.69307950695
210,-3.19167262883
211,-1.94923718136
212,-1.88535384512
213,-1.56217776097
214,-3.51583041505
215,-3.26330679994
216,-2.47140863334
217,-2.62729919119
218,-1.71446688162
219,-1.90882583685
220,-1.12990410378
221,-3.2704659384
222,-1.64497912971
223,-1.87303299245
224,-2.66390578171
225,-2.04196484416
226,-1.99881011374
227,-2.61448183289
228,-3.2014946295
229,-2.27086847312
230,-1.55436275956
231,-3.28037711292
232,-3.08551818782
233,-2.4519399688
234,-2.0785513092
235,-3.32120413476
236,-4.36892978256
237,-1.58473579866
238,-2.43124242074
239,-1.53239889301
240,-2.65967224726
241,-2.79775225454
242,-2.77106083191
243,-2.45774766658
244,-0.99355582732
245,-2.55340248383
246,-2.14430669552
247,-1.33734211839
248,-2.06944846387
249,-2.46436029235
250,-1.87971018633
251,-2.36305676853
252,-3.55966109066
253,-2.30801499659
254,-2.85826833495
255,-2.64599350766
256,-0.890420851091
257,-4.06077557094
258,-3.00423678296
259,-1.83498894226
260,-2.03187632241
261,-1.37186667901
262,-3.88948427959
263,-1.66526630601
264,-2.42136546678
265,-2.30284882116
266,-3.6622076951
267,-2.34271977594
268,-2.32258572212
269,-2.69277201512
270,-1.24223058069
271,-2.48228080346
272,-2.10496510259
273,-1.97684683842
274,-2.84425268527
275,-1.39379605572
276,-2.3609777899
277,-1.29696425067
278,-2.57574612531
279,-0.830146437907
280,-3.18341696504
281,-1.938074761
282,-2.81218349433
283,-2.65298115304
284,-1.25338384341
285,-2.23072467772
286,-2.40088681795
287,-2.87590598581
288,-2.59450686229
289,-2.30255348792
290,-3.21157853633
291,-2.91749210415
292,-8.49316902687
293,-96.927406643
294,-203.100085997
295,-203.007967551
296,-203.018502938
297,-203.029999951
298,-203.044295535
299,-203.046378887
300,-203.064132737
301,-203.082839332
302,-203.07031351
303,-202.980024271
304,-203.190673842
305,-1.70383525337
306,-3.39196133179
307,-2.27217341363
308,-4.82664827793
309,-1.66652135584
310,-2.39616515185
311,-2.8928740566
312,-3.39088815733
313,-5.68407891782
314,-1.78838386532
315,-3.84097793269
316,-2.00414410472
317,-5.09243877448
318,-3.88373855615
319,-3.37054809285
320,-4.61757550282
321,-4.35489993139
322,-6.53126208965
323,-3.52657979445
324,-4.73786219972
325,-3.90257522693
326,-4.45594793665
327,-2.14405239875
328,-2.46671429842
329,-4.47355874263
330,-1.47630541361
331,-5.43013741868
332,-6.62609946745
333,-2.64369089033
334,-2.11090213408
