episode,rewards_total
1,2.58505280289
2,2.62839258669
3,9.93489716602
4,17.8884679616
5,7.78409614882
6,21.6525322185
7,11.3135114699
8,24.3259931845
9,-9.64336562867
10,-3.26540517994
11,2.55197115571
12,6.67769188984
13,-4.84593422029
14,4.85995082281
15,-3.65493555466
16,-27.2631022829
17,-6.39502458893
18,-1.40330996173
19,6.72464014498
20,3.55794485379
21,7.76506216388
22,6.58699465162
23,1.7945683356
24,3.92839873691
25,1.74030154559
26,7.5969682334
27,14.6077584451
28,-5.8408920016
29,-0.193570018299
30,-7.18854970436
31,0.924103948158
32,2.72691992233
33,1.02445049374
34,6.30320785193
35,12.960839883
36,37.3926585599
37,-203.025231285
38,6.03101941286
39,-3.08789309841
40,-4.41205469234
41,-3.58724529411
42,-3.50461604747
43,-3.9614621
44,-4.13648875012
45,-5.90409705763
46,-2.23376383741
47,-1.618179371
48,-3.45845276312
49,-10.242046681
50,1.37314373603
51,34.0839926577
52,-3.10543911893
53,-17.210495064
54,-23.8711591458
55,-98.6222470416
56,-173.606770189
57,-172.329082095
58,-175.674533887
59,-28.4767017682
60,-31.7729300727
61,4.971211759
62,8.10059011224
63,21.2609831245
64,25.1026070173
65,25.9350042634
66,12.2688654516
67,-1.92481198473
68,-7.06642933199
69,4.29957736342
70,-6.37643385644
71,-3.1105019374
72,18.9944274742
73,11.3818734036
74,7.14521534687
75,32.2760566643
76,23.2885148585
77,6.54243734929
78,13.3847739712
79,14.9229641451
80,12.3902510455
81,1.95119693972
82,2.16844417711
83,5.37960377091
84,9.76340357528
85,2.26608031882
86,7.87310445209
87,8.28166731331
88,8.58973033824
89,6.77696889687
90,12.3482060015
91,20.6127822719
92,8.14439653881
93,6.38755675092
94,1.43317814738
95,8.7847205159
96,3.20810358967
97,-3.63383152337
98,-6.40515411428
99,-18.2465838929
100,-19.4270965247
101,-141.038251593
102,4.21365464589
103,-0.712783730038
104,-5.53857023338
105,-45.1561161918
106,-54.9822253082
107,22.1712672704
108,7.14525558684
109,-13.2056052574
110,20.4877895247
111,-7.09690508223
112,22.1601196868
113,44.7606916735
114,20.5041194599
115,27.3453011906
116,19.5440714579
117,16.3225682904
118,15.5334135222
119,21.3599256298
120,10.8830401005
121,18.2516055706
122,18.3373911674
123,14.8026148787
124,17.0753904869
125,20.5132625676
126,17.4965051481
127,19.201708339
128,20.8274694492
129,22.4019677334
130,15.7840529848
131,21.5896545561
132,20.8967215712
133,19.2494439795
134,20.2883592645
135,21.6620146081
136,19.3576442065
137,18.3476775702
138,19.2792004381
139,15.1765022508
140,21.3975969614
141,18.4538925791
142,13.1549007938
143,16.6293246175
144,17.0684837996
145,22.2751357937
146,19.5923304786
147,16.3153604656
148,22.6333127074
149,20.9836051527
150,21.5503086549
151,13.7049537661
152,18.1169027883
153,21.3094804811
154,26.6942955926
155,21.9845859807
156,18.1397571832
157,-2.83765415452
158,16.238804533
159,19.1119016748
160,18.0076899195
161,19.6768231283
162,24.0010297758
163,21.8382815004
164,4.21959097626
165,12.6631453749
166,18.1601389076
167,18.6886375686
168,21.3859312251
169,11.5896743919
170,18.1985139284
171,22.0454670372
172,18.6233802996
173,20.2538872497
174,14.9911001128
175,3.06570757437
176,17.7142306682
177,19.0483796522
178,22.6831646958
179,25.5157409266
180,21.7563534956
181,25.1100160605
182,28.6522143982
183,18.5586717822
184,25.0232265118
185,14.2964675387
186,13.1865109573
187,27.9816483401
188,27.6073413471
189,7.81752978748
190,7.66381704742
191,0.33991822433
192,9.72011170056
193,16.9984524586
194,16.88195029
195,7.09932261366
196,21.0962437767
197,4.74002886695
198,20.6680277212
199,15.6186513032
200,17.6008295709
201,21.6985209215
202,16.398330919
203,17.7485969136
204,20.931969864
205,17.99910359
206,22.9292523245
207,18.6196875676
208,20.943347678
209,26.2442956984
210,9.40413585435
211,14.7796743294
212,16.6169551908
213,-3.36300897526
214,-12.9049121402
215,7.9686330385
216,13.3343995637
217,-6.58803151203
218,21.3826069577
219,25.9830913972
220,25.4157596534
221,17.6219644325
222,-0.33630397893
223,1.52294792997
224,-0.0613957707989
225,0.480254159985
226,-12.9072222496
227,-10.890874811
228,-1.4628632026
229,-26.9510677827
230,-32.6134255685
231,-4.04936771941
232,-1.55460847681
233,-2.29194613057
234,-29.560166819
235,-75.7976882091
236,-95.1068644826
237,-72.5937415806
238,-133.152533616
239,-29.1149487141
240,-44.2350986195
241,-66.6984223643
242,-47.1291092753
243,-43.6672465476
244,-112.658603853
245,-132.772641457
246,-203.799697783
247,-159.408987174
248,-203.748778596
249,-203.402710185
250,-203.09732259
251,-203.244825471
252,-203.374908733
253,-183.357310054
254,-130.504327633
255,-39.390395107
256,-41.6064582171
257,-32.9584502313
258,18.8161457213
259,16.1225107966
260,16.9172098491
261,17.9927731473
262,18.5852552652
263,14.936387588
264,15.0021834003
265,20.0212921672
266,18.2637671875
267,18.9395136362
268,18.3782866902
269,17.4460153471
270,17.3967775648
271,17.1521986866
272,18.475082872
273,16.0890553854
274,18.7615180795
275,17.8014020356
276,19.2785150844
277,16.5711219156
278,19.0451595901
279,15.6243474885
280,19.4111177568
281,19.4809763988
282,16.8251185331
283,16.9646108711
284,17.9256830187
285,17.7682730268
286,19.160173366
287,19.3181574262
288,19.1002025993
289,19.2818455917
290,19.1649643265
291,15.0048456493
292,16.4492404669
293,15.7166039221
294,16.8161235054
295,13.6863591303
296,16.1467829924
297,16.1116559964
298,15.4077193494
299,19.2163782465
300,14.82766688
301,19.3288009793
302,18.2179563616
303,18.552149037
304,16.5944041002
305,18.0403174098
306,16.963758817
307,18.3782831335
308,15.9843972232
309,14.7770040206
310,19.1429392968
311,16.6067257493
312,16.3472062167
313,15.972864352
314,18.113483686
315,14.4953313696
316,18.665877528
317,17.7811243913
318,15.0843581956
319,17.0333904782
320,18.5009839665
321,16.7220024479
322,14.8758620117
323,15.5473876362
324,16.2494325566
325,13.68659552
326,15.3781690904
327,19.0266797331
328,15.4044988747
329,16.3486187625
330,17.2555307675
331,18.603516547
332,17.8909968808
333,15.103629167
334,18.134424825
335,18.193297893
336,17.0102129008
337,17.125233018
338,16.9744318463
339,18.9976456466
340,19.448485062
341,18.0045065043
342,17.4703955322
343,14.5193404529
344,18.21519202
345,16.3853861975
346,20.7005594219
347,16.3153655382
348,17.2855026885
349,15.4774276863
350,17.3205394506
351,17.0611417489
352,16.3151032284
353,15.7111684816
354,14.9484582266
355,17.9812601579
356,18.8919692002
357,18.9737691815
358,13.8714878805
359,15.8109525575
360,17.8230121298
361,16.9369860049
362,15.8415995579
363,14.4628682414
364,16.0118321961
365,19.244369629
366,13.489505538
367,19.2831460802
368,17.0423789738
369,18.4554635937
370,18.9170848504
371,16.3126814189
372,17.9251521815
373,19.6471794275
374,18.9517189029
375,16.8370193486
376,14.9289400586
377,14.606926093
378,18.575047173
379,15.2792639582
380,16.5492653665
381,17.4789016027
382,15.5920814626
383,17.7757772614
384,18.1391091837
385,18.3166747715
386,15.5843553878
387,17.5355985882
388,19.2006082581
389,18.8311512593
390,18.3373420703
391,19.4638537391
392,16.0000424641
393,19.4312534934
394,14.5993817105
395,16.8014556412
396,18.399167323
397,18.7624469711
398,16.2837459278
399,17.6633398427
400,15.8079004363
401,16.4503813878
402,18.1190871902
403,18.3770111658
404,18.4624133135
405,16.1406148752
406,17.4598562895
407,14.7279786352
408,17.0393826422
409,17.5299140495
410,17.4559466694
411,18.0020620598
412,17.2284757693
413,19.1817413455
414,16.8931010186
415,16.6050368397
416,15.3111984707
417,18.5948361644
418,17.9516606681
419,18.5562146633
420,19.2122355737
421,18.5300500487
422,17.3426610353
423,15.8839325264
